script,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
Inscriptional_Pahlavi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chorasmian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chakma,0.0,0.0,0.0,0.0,0.0,4.477611940298507,0.0,1.4285714285714286,0.0,0.0
Tangsa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zanabazar_Square,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imperial_Aramaic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old_Permic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warang_Citi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenian,0.0,3.3333333333333335,0.0,0.0,0.0,2.150537634408602,0.0,1.0526315789473684,0.0,0.0
Mahajani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brahmi,0.0,0.9259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,5.504587155963303,0.0
Multani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latin,18.411214953271028,5.6037884767166535,0.8221225710014948,0.07412898443291327,0.0,0.2222222222222222,0.9608277900960828,0.5856515373352855,7.3508005822416305,0.4067796610169492
Bamum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sora_Sompeng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phags_Pa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sharada,0.0,0.0,10.588235294117647,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0
Limbu,0.0,3.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cypriot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bengali,1.098901098901099,1.0869565217391304,0.0,0.0,2.150537634408602,1.0526315789473684,0.0,0.0,0.0,0.0
Javanese,0.0,-1.098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buginese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dogra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old_Italic,0.0,2.857142857142857,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0
Sinhala,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0
Katakana,82.92682926829268,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,5.2631578947368425,0.3125
Glagolitic,0.0,0.0,0.0,40.42553191489362,0.0,0.0,0.0,0.0,1.5151515151515151,0.0
Bopomofo,9.375,0.0,0.0,0.0,1.4285714285714286,1.408450704225352,0.0,6.944444444444445,0.0,0.0
Mende_Kikakui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saurashtra,0.0,0.0,0.0,1.2345679012345678,0.0,0.0,0.0,0.0,0.0,0.0
Old_Sogdian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuneiform,0.0,5.6008146639511205,18.997107039537127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabataean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canadian_Aboriginal,12.698412698412698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2535211267605635,0.0
Cherokee,0.0,0.0,102.3529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duployan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hiragana,2.247191011235955,0.0,0.0,0.0,313.1868131868132,0.0,0.7978723404255319,0.0,0.2638522427440633,0.2631578947368421
Kaithi,0.0,0.0,0.0,0.0,0.0,1.5151515151515151,0.0,0.0,1.492537313432836,0.0
